app,ratings,helpful-vote,sentence
duolingo,4,8,it's a great pp and i use it to practice my spanish even though i already take a class for it.
duolingo,4,8,they also have many other languages that i personally never knew existed.
duolingo,4,8,the only problem i've faced is the loading screen!
duolingo,4,8,it takes way too long and i'm sitting here with high speed internet.
duolingo,4,8,"between loading screens, maybe make a little mind game or something?"
duolingo,4,8,change up some of the pro tips (like tap to see another tip because they only show you one).
duolingo,4,8,just something to get me more hoped!
duolingo,4,8,!
duolingo,4,5,i've been using the pp for the past two years and i'm quite satisfied with it.
duolingo,4,5,only learning swedish for now but i love the fact it provides large vocabulary range and that setting up your own goals is great for learning at your own pace.
duolingo,4,5,there is competitiveness with the leagues which makes it more simulating and fun.
duolingo,4,5,i'm giving it 4 stars because of 2 things - the hearts and the lack of grammar explanations.
duolingo,4,5,"however, in the comments, admits/mode/people do take their time to do that for you."
duolingo,4,1,"the pp itself is a convenient learning tool, and i enjoy having a cup of coffee while learning a new language every day!"
duolingo,4,1,"my reason for not leaving 5 stars is because the pp and webster are so different, and i use both!"
duolingo,4,1,"in high valyrian, the grammar explanations dont exist in pp, but do in the webster."
duolingo,4,1,"in the pp you can ""break"" your completed lessons and restore them, but not in the webster."
duolingo,4,1,"also in the pp, some lessons are longer/shorter than on the webster."
duolingo,4,1,i'd like to get consistency
duolingo,4,5,"really great and fun, i just wish it would let us test out of what we already know, or speed up lessons, as they can be quite repetition and a little too easy [not true of languages that dont use your alphabet or dont share your roots, you need to already know the alphabet for those]."
duolingo,4,5,"otherwise, its the best free language pp out there, and its framed like a game and you can dress the owl up so that nice!"
duolingo,4,5,"very fun, would recommend"
duolingo,4,0,"⭐🦉domingo, in my opinion and experience, ist the number one pp for learning for example german."
duolingo,4,0,"organ for example it's more difficult for me, because i don't understand the characters so i make a lot of mistakes trying to guess the meaning and because i'm not premium, i waste hearts."
duolingo,4,0,"i know that practicing you earn hearts, but in this way it's difficult to advance."
duolingo,4,0,"eventough, that's something we can fix with premium!"
duolingo,4,0,and i'm considering it.
duolingo,4,0,this pp is total worth it!
duolingo,4,0,4'5/5!!
duolingo,4,0,!⭐ love 💖
duolingo,4,0,i got this pp to learn japanese so i could eventually play japanese games without goose translate.
duolingo,4,0,"the first couple lessons were focused mainly on a small set of characters and the sounds they made, with one or two simple words tossed in."
duolingo,4,0,"the next two lessons also have new characters in it, however are mostly focused on words, and not the new characters."
duolingo,4,0,"the only ""practice"" these lessons have for the new characters is a match the character to the sound."
duolingo,4,0,i can't learn with those.
duolingo,4,0,i really enjoy using this pp to learn organ.
duolingo,4,0,in the future i hope to also add japanese and chinese to the list.
duolingo,4,0,the only thing about this pp that i don't particularly like is that it doesn't really teach me how certain grammar points work.
duolingo,4,0,"besides that small concern, i'd definitely recommend domingo to people who want to learn a language 😊"
duolingo,4,3,"i love domingo, it's a great pp to help you learn a language at your own pace, and for free."
duolingo,4,3,"the only thing that i don't really agree with is the new 'life' system, when every mistake you make you loose a life, and once you have lost them all, you can't access different lessons, unless you wait his for another one, or you get domingo 'plus'."
duolingo,4,0,i love this pp.
