app,ratings,helpful-vote,sentence
duolingo,1,10,hi there i'm leaving a review because i'm having a terrible time with this pp.
duolingo,1,10,"there is a forgetting issue that hides the correct choice behind the ""check"" button, and because you can't select the correct choice you can't pass the course."
duolingo,1,10,"this is happening in the organ language, alphabet 2, lesson 3. i tried to report a bug, and the catch purification keeps failing, so i can't even do that."
duolingo,1,10,"very disappointed, i thought this was a popular pp but it's clearly poorly maintained."
duolingo,1,1,this pp started out alright.
duolingo,1,1,it does an okay job of attempting to teach some basis of a language but it generally fails to explain how sentences or words in other languages work.
duolingo,1,1,"for example, in the hebrew language the letters in words go from left to right."
duolingo,1,1,domingo doesn't tell you this.
duolingo,1,1,i only knew this from other sources.
duolingo,1,1,and the pp also fails to properly tall up your points correctly and i ended up having to repeat over a dozen lessons for unknown reasons.
duolingo,1,1,look elsewhere.
duolingo,1,2,i'm using this pp to learn basic japanese.
duolingo,1,2,"the pp spends a lot if time trying to teach hiragana, but i'd much rather focus on building a basic speaking vocabulary so i can converse."
duolingo,1,2,reading is secondary.
duolingo,1,2,"also worth noting, japan has 3 alphabet, hirigana, katakana, and anti."
duolingo,1,2,domingo does not even attempt to teach anti (or katakana).
duolingo,1,2,truly the only reason i'm using this pp is it's free.
duolingo,1,5,"useless for japanese, throws things at you you cannot possibly know to use up your life points and has no way to directly practice the words and phrases you need to practice."
duolingo,1,5,practice mode pulls random subjects and practicing acid courses is also random.
duolingo,1,5,"it's all designed to get you to buy premium, and even then there are far better courses, apes, or webster that are far better."
duolingo,1,2,this was great pp until they ruined it with the life.
duolingo,1,2,everything used to function to keep you wanting to learn more and get better.
duolingo,1,2,now they've ruined all of that by forcing you to quit if you make a few mistakes.
duolingo,1,2,"it's evident all they care about is money now, they ruined a great pp for the sake of greed."
duolingo,1,0,worked ok before i created a profile.
duolingo,1,0,"now the pp won't let me change languages, won't load lessons, hasn't stored all my progress, and it claims i'm office when i am not."
duolingo,1,0,"i have tried clearing catches, starting the device, and uninstalling/reinstating several times."
duolingo,1,0,nothing works.
duolingo,1,4,unfortunately the long wait for the hearts to regenerate is not a good experience for beginners to a new language as they will make many errors they use up their lives quickly then have a five hour wait to try again the previous domingo was far better as you could make as many errors as you like and even experiment as some languages allow you to say the same thing but in multiple ways
duolingo,1,181,"seems great at first, until you get to more complicated parts."
duolingo,1,181,there's a complete lack of explanation as to why something is wrong.
duolingo,1,181,"yes, you can ask a question are read through other users explanation of what something is, but this is users helping other users and they're not always correct."
duolingo,1,181,"also, what exactly is the premium for if you're still radiant on users explaining (and therefore teaching) the language?"
duolingo,1,181,"basically, you run through the same set of questions, never fully understanding."
duolingo,1,6,purchased the plus subscription at the end of october 2019 for 6 months and paid front.
duolingo,1,6,today when doing a lesson the new year promotion popped up and after closing it my plus subscription is no longer active.
duolingo,1,6,i still have until the end of april but can't find a way to reinstate the plus features.
duolingo,1,6,tried reporting it through the help centre but that has a bug too and i'm unable to submit my request.
duolingo,1,6,please help!
duolingo,1,6,"the hind course is so itchy you have to hope you get the ""watching pairs"" question that isn't missed up just to continue the course lessons."
duolingo,1,6,it really slow progress.
duolingo,1,6,why would i want to keep coming back to lessons that you can never pass because the entire system is missed up?
duolingo,1,6,really disappointed.
duolingo,1,6,"was so excited for this, but came to a grinding halt at level 3. sent in feedback and a but fix report."
duolingo,1,6,nothing yet.
duolingo,1,6,what a shame.
duolingo,1,6,"this pp is so frustration, not because i lose all of my heart's on simple mistakes that the pp should recognise as types, it is because it beats you over the head with constantly trying to get you to become a member of the premium pp."
duolingo,1,6,"(the complain is actually about me losing all of my hearts in simple types that the pp recognizes sometimes, but other times it is being totally dumb about the whole situation)."
duolingo,1,1,i've been trying to use the pp the last couple of weeks and it laws so much now.
duolingo,1,1,"it used to work just fine, what happened!!???"
duolingo,1,1,👎 update (1/13/20): pp does not work at all anymore.
duolingo,1,1,i've attempted to use it the last 3 days and it seems stuck on a loop (starting and closing).
duolingo,1,1,☹
duolingo,1,5,the pp definitely has some major bags.
duolingo,1,5,"i know it sounds childish, but if i have filled my hearts spending 350 gems and it doesn't get reflected, it is heartbreaking to me."
duolingo,1,5,"it's like paying online for a food delivery order, but the order is never noted, despite the amount being deduced from the account"
duolingo,1,27,i’ve been using this pp for a long time and loving it.
duolingo,1,27,"but, it was always obvious that they are struggling with their promise to be “always free” in the face of market reality."
duolingo,1,27,"so, i’ve seen them experimenting with different features that might get people to pay for premium."
duolingo,1,27,"well, they finally broke their promise as expected and introduced a “hearts system” that limit the use of the pp unless you have premium account in which you could buy unlimited hearts."
duolingo,1,27,this is such a steady way of forcing people to pay for premium while still pretending you are free.
duolingo,1,27,if you cannot hold you promise then just don’t.
duolingo,1,27,tell the users it’s not working and some changes are needed.
duolingo,1,27,but why do you have to do it by limiting the amount of mistakes a person can make in the courses?!?!?
duolingo,1,27,"just limit the amount of courses a person can take a day or the amount of time for practice, or just close some features from the free users (like the tips or the “skin a course” key)."
duolingo,1,27,limiting the errors i can make in a course?!?
duolingo,1,27,are you bidding me?!?!
duolingo,1,27,how does a person suppose to learn if not from making mistakes?!?
duolingo,1,27,"moreover, most of the mistakes are not even mine—a lot of the mistakes are the pp’s (i don’t know how many times i selected the “my answer should have been accepted” option and got an email from them saying i was right), and not to mention all the mistakes one makes because of the phone’s spell checked."
duolingo,1,27,just as principle i’m not going to be a premium member.
duolingo,1,27,"there is babel, drops, memories, and many other apes for learning languages."
duolingo,1,27,"all of them are not free, but at least they are being honest about it right from the start!!"
duolingo,1,27,!
duolingo,1,36,i was really disappointed with the update.
duolingo,1,36,now you have to waste all your hard worked lights to skin a level which doesn't make sense.
duolingo,1,36,i only skin levels once i'm confident i can do it so why is it that it's something only those who have plus can do it unlimited?
duolingo,1,36,if domingo's motto is to make learning languages free they should keep it that way for everybody.
duolingo,1,36,"i am fine with receiving as, i get that they need funding to keep running but giving plus more privileges becomes a 'pay to win' pp"
duolingo,1,106,i have had to drop my rating to a 1 star.
duolingo,1,106,"the pp is fantastic, i love learning with it."
duolingo,1,106,"however, there is something very wrong with the up system."
duolingo,1,106,"i earn mine honestly, but there are several people that use a hack to cheat."
